time,open,high,low,close
2009-04-23T16:00:00-07:00,85.402,85.537,84.458,84.716
2009-04-26T14:00:00-07:00,84.795,85.836,84.683,85.67
2009-04-27T16:00:00-07:00,85.661,86.006,85.03,85.162
2009-04-28T16:00:00-07:00,85.189,85.282,84.171,84.636
2009-04-29T16:00:00-07:00,84.662,84.948,83.885,84.796
2009-04-30T16:00:00-07:00,84.817,84.826,84.286,84.546
2009-05-03T14:00:00-07:00,84.589,84.87,83.618,83.618
2009-05-04T16:00:00-07:00,83.701,84.31,83.496,84.122
2009-05-05T16:00:00-07:00,84.155,84.413,83.763,83.958
2009-05-06T16:00:00-07:00,83.935,84.345,83.425,83.852
2009-05-07T16:00:00-07:00,83.813,84.087,82.385,82.529
2009-05-10T14:00:00-07:00,82.361,82.858,82.292,82.82
2009-05-11T16:00:00-07:00,82.841,82.874,81.998,82.299
2009-05-12T16:00:00-07:00,82.288,82.742,81.871,82.575
2009-05-13T16:00:00-07:00,82.568,82.876,82.224,82.425
2009-05-14T16:00:00-07:00,82.384,83.096,82.292,82.948
2009-05-17T14:00:00-07:00,83.034,83.22,82.504,82.537
2009-05-18T16:00:00-07:00,82.538,82.679,81.903,82.105
2009-05-19T16:00:00-07:00,82.102,82.254,80.909,81.176
2009-05-20T16:00:00-07:00,81.18,81.417,80.367,80.489
2009-05-21T16:00:00-07:00,80.477,80.495,79.805,80.04
2009-05-24T14:00:00-07:00,80.035,80.313,79.85,80.033
2009-05-25T16:00:00-07:00,80.033,80.78,79.983,80.106
2009-05-26T16:00:00-07:00,80.102,80.818,79.964,80.802
2009-05-27T16:00:00-07:00,80.775,81.129,80.278,80.536
2009-05-28T16:00:00-07:00,80.526,80.588,79.183,79.348
2009-05-31T14:00:00-07:00,79.105,79.464,78.586,79.205
2009-06-01T16:00:00-07:00,79.174,79.482,78.334,78.461
2009-06-02T16:00:00-07:00,78.457,79.631,78.339,79.528
2009-06-03T16:00:00-07:00,79.432,79.949,79.02,79.45
2009-06-04T16:00:00-07:00,79.432,80.82,79.158,80.668
2009-06-07T14:00:00-07:00,80.724,81.466,80.515,80.848
2009-06-08T16:00:00-07:00,80.837,81.062,79.654,79.805
2009-06-09T16:00:00-07:00,79.835,80.639,79.439,80.288
2009-06-10T16:00:00-07:00,80.264,80.397,79.193,79.545
2009-06-11T16:00:00-07:00,79.56,80.517,79.414,80.142
2009-06-14T14:00:00-07:00,80.168,81.368,80.067,81.148
2009-06-15T16:00:00-07:00,81.129,81.341,80.328,80.757
2009-06-16T16:00:00-07:00,80.761,80.954,80.062,80.27
2009-06-17T16:00:00-07:00,80.246,80.776,80.069,80.571
2009-06-18T16:00:00-07:00,80.569,80.736,79.973,80.264
2009-06-21T14:00:00-07:00,80.347,80.927,80.239,80.828
2009-06-22T16:00:00-07:00,80.838,80.94,79.698,79.855
2009-06-23T16:00:00-07:00,79.849,80.745,79.562,80.555
2009-06-24T16:00:00-07:00,80.54,80.912,80.251,80.372
2009-06-25T16:00:00-07:00,80.383,80.403,79.611,79.903
2009-06-28T14:00:00-07:00,79.889,80.289,79.76,79.9
2009-06-29T16:00:00-07:00,79.896,80.333,79.432,80.149
2009-06-30T16:00:00-07:00,80.162,80.402,79.35,79.61
2009-07-01T16:00:00-07:00,79.611,80.612,79.602,80.51
2009-07-02T16:00:00-07:00,80.481,80.543,80.155,80.453
2009-07-05T14:00:00-07:00,80.429,80.888,80.274,80.367
2009-07-06T16:00:00-07:00,80.375,80.733,80.076,80.702
2009-07-07T16:00:00-07:00,80.704,80.892,80.52,80.635
2009-07-08T16:00:00-07:00,80.649,80.725,79.692,79.942
2009-07-09T16:00:00-07:00,79.935,80.516,79.898,80.308
2009-07-12T14:00:00-07:00,80.208,80.498,79.996,80.074
2009-07-13T16:00:00-07:00,80.037,80.301,79.878,80.034
2009-07-14T16:00:00-07:00,80.033,80.062,79.291,79.442
2009-07-15T16:00:00-07:00,79.436,79.628,79.131,79.28
2009-07-16T16:00:00-07:00,79.287,79.661,79.248,79.494
2009-07-19T14:00:00-07:00,79.377,79.533,78.799,78.828
2009-07-20T16:00:00-07:00,78.847,79.083,78.591,78.799
2009-07-21T16:00:00-07:00,78.847,79.083,78.563,78.788
2009-07-22T16:00:00-07:00,78.78,79.155,78.42,79.009
2009-07-23T16:00:00-07:00,78.999,79.086,78.602,78.749
2009-07-26T14:00:00-07:00,78.769,78.977,78.396,78.649
2009-07-27T16:00:00-07:00,78.769,79.07,78.315,78.865
2009-07-28T16:00:00-07:00,78.769,79.659,78.315,79.517
2009-07-29T16:00:00-07:00,79.516,79.64,79.174,79.319
2009-07-30T16:00:00-07:00,79.324,79.33,78.22,78.347
2009-08-02T14:00:00-07:00,78.337,78.487,77.451,77.59
2009-08-03T16:00:00-07:00,77.6,77.809,77.467,77.723
2009-08-04T16:00:00-07:00,77.714,77.851,77.428,77.589
2009-08-05T16:00:00-07:00,77.562,78.141,77.511,77.98
2009-08-06T16:00:00-07:00,77.967,79.073,77.808,78.975
2009-08-09T14:00:00-07:00,78.893,79.395,78.733,79.195
2009-08-10T16:00:00-07:00,79.221,79.355,79.008,79.143
2009-08-11T16:00:00-07:00,79.142,79.388,78.622,78.852
2009-08-12T16:00:00-07:00,78.829,78.829,78.235,78.406
2009-08-13T16:00:00-07:00,78.429,78.924,78.229,78.885
2009-08-16T14:00:00-07:00,78.727,79.514,78.72,79.341
2009-08-17T16:00:00-07:00,79.257,79.349,78.895,78.997
2009-08-18T16:00:00-07:00,78.999,79.225,78.341,78.495
2009-08-19T16:00:00-07:00,78.494,78.667,78.299,78.399
2009-08-20T16:00:00-07:00,78.38,78.581,77.754,78.087
2009-08-23T14:00:00-07:00,78.008,78.341,77.954,78.207
2009-08-24T16:00:00-07:00,78.243,78.415,77.927,78.31
2009-08-25T16:00:00-07:00,78.307,78.833,78.115,78.639
2009-08-26T16:00:00-07:00,78.623,78.735,77.851,78.089
2009-08-27T16:00:00-07:00,78.081,78.388,77.867,78.321
2009-08-30T14:00:00-07:00,78.337,78.587,77.995,78.148
2009-08-31T16:00:00-07:00,78.132,78.943,77.944,78.72
2009-09-01T16:00:00-07:00,78.689,78.84,78.269,78.384
2009-09-02T16:00:00-07:00,78.373,78.536,77.997,78.421
2009-09-03T16:00:00-07:00,78.456,78.699,78.016,78.136
2009-09-06T14:00:00-07:00,78.195,78.214,77.864,78.024
2009-09-07T16:00:00-07:00,78.016,78.024,77.047,77.278
2009-09-08T16:00:00-07:00,77.217,77.45,76.803,77.017
2009-09-09T16:00:00-07:00,77.035,77.238,76.699,76.811
2009-09-10T16:00:00-07:00,76.823,76.847,76.457,76.608
2009-09-13T14:00:00-07:00,76.655,77.085,76.524,76.64
2009-09-14T16:00:00-07:00,76.615,77.062,76.407,76.488
2009-09-15T16:00:00-07:00,76.508,76.572,76.151,76.283
2009-09-16T16:00:00-07:00,76.303,76.414,76.01,76.217
2009-09-17T16:00:00-07:00,76.222,76.716,76.221,76.425
2009-09-20T14:00:00-07:00,76.552,77.108,76.454,76.743
2009-09-21T16:00:00-07:00,76.716,76.73,76.003,76.088
2009-09-22T16:00:00-07:00,76.056,76.576,75.827,76.456
2009-09-23T16:00:00-07:00,76.468,77.048,76.091,76.879
2009-09-24T16:00:00-07:00,76.937,77.067,76.487,76.812
2009-09-27T14:00:00-07:00,76.654,77.255,76.565,76.919
2009-09-28T16:00:00-07:00,76.86,77.333,76.799,77.084
2009-09-29T16:00:00-07:00,77.034,77.073,76.494,76.703
2009-09-30T16:00:00-07:00,76.684,77.265,76.591,77.177
2009-10-01T16:00:00-07:00,77.23,77.475,76.684,77.003
2009-10-04T14:00:00-07:00,76.986,76.987,76.613,76.708
2009-10-05T16:00:00-07:00,76.687,76.691,76.103,76.281
2009-10-06T16:00:00-07:00,76.265,76.628,76.125,76.414
2009-10-07T16:00:00-07:00,76.378,76.383,75.767,75.926
2009-10-08T16:00:00-07:00,76.045,76.56,75.966,76.431
2009-10-11T14:00:00-07:00,76.318,76.668,76.021,76.148
2009-10-12T16:00:00-07:00,76.12,76.286,75.738,75.821
2009-10-13T16:00:00-07:00,75.842,75.878,75.339,75.426
2009-10-14T16:00:00-07:00,75.402,75.765,75.211,75.454
2009-10-15T16:00:00-07:00,75.427,75.904,75.295,75.597
2009-10-18T14:00:00-07:00,75.637,75.912,75.18,75.29
2009-10-19T16:00:00-07:00,75.281,75.763,75.103,75.509
2009-10-20T16:00:00-07:00,75.539,75.722,74.94,75.077
2009-10-21T16:00:00-07:00,75.086,75.517,75.011,75.071
2009-10-22T16:00:00-07:00,75.059,75.522,74.951,75.468
2009-10-25T14:00:00-07:00,75.448,76.118,75.197,76.018
2009-10-26T16:00:00-07:00,76.021,76.328,75.762,76.131
2009-10-27T16:00:00-07:00,76.133,76.559,76.096,76.437
2009-10-28T16:00:00-07:00,76.437,76.578,75.859,75.925
2009-10-29T16:00:00-07:00,75.95,76.428,75.826,76.3
2009-11-01T14:00:00-08:00,76.374,76.411,75.93,76.213
2009-11-02T16:00:00-08:00,76.104,76.817,76.066,76.303
2009-11-03T16:00:00-08:00,76.372,76.397,75.6,75.754
2009-11-04T16:00:00-08:00,75.743,75.979,75.513,75.752
2009-11-05T16:00:00-08:00,75.757,75.97,75.497,75.819
2009-11-08T14:00:00-08:00,75.661,75.723,74.93,75.002
2009-11-09T16:00:00-08:00,74.995,75.271,74.947,75.01
2009-11-10T16:00:00-08:00,74.929,75.218,74.774,75.09
2009-11-11T16:00:00-08:00,75.057,75.767,74.931,75.638
2009-11-12T16:00:00-08:00,75.566,75.656,75.135,75.334
2009-11-15T14:00:00-08:00,75.148,75.312,74.679,74.834
2009-11-16T16:00:00-08:00,74.809,75.622,74.784,75.273
2009-11-17T16:00:00-08:00,75.238,75.335,74.898,75.076
2009-11-18T16:00:00-08:00,75.109,75.554,75.089,75.28
2009-11-19T16:00:00-08:00,75.244,75.879,75.205,75.656
2009-11-22T14:00:00-08:00,75.558,75.578,74.946,75.117
2009-11-23T16:00:00-08:00,75.193,75.45,74.996,75.137
2009-11-24T16:00:00-08:00,75.044,75.113,74.227,74.278
2009-11-25T16:00:00-08:00,74.313,75.014,74.17,74.772
2009-11-26T16:00:00-08:00,74.776,75.575,74.754,74.996
2009-11-29T14:00:00-08:00,74.887,74.957,74.491,74.803
2009-11-30T16:00:00-08:00,74.71,75.091,74.266,74.407
2009-12-01T16:00:00-08:00,74.407,74.675,74.356,74.583
2009-12-02T16:00:00-08:00,74.531,74.855,74.331,74.747
2009-12-03T16:00:00-08:00,74.782,75.936,74.599,75.747
2009-12-06T14:00:00-08:00,75.692,76.183,75.449,75.684
2009-12-07T16:00:00-08:00,75.749,76.313,75.506,76.297
2009-12-08T16:00:00-08:00,76.283,76.331,75.834,75.999
2009-12-09T16:00:00-08:00,75.98,76.211,75.86,76.03
2009-12-10T16:00:00-08:00,76.023,76.726,75.899,76.573
2009-12-13T14:00:00-08:00,76.61,76.669,76.245,76.335
2009-12-14T16:00:00-08:00,76.344,77.092,76.325,76.904
2009-12-15T16:00:00-08:00,76.943,77.039,76.602,76.895
2009-12-16T16:00:00-08:00,76.947,77.943,76.909,77.813
2009-12-17T16:00:00-08:00,77.733,78.141,77.382,77.821
2009-12-20T14:00:00-08:00,77.768,78.144,77.587,78.107
2009-12-21T16:00:00-08:00,78.039,78.449,77.846,78.256
2009-12-22T16:00:00-08:00,78.248,78.361,77.741,77.882
2009-12-23T16:00:00-08:00,77.892,77.922,77.496,77.705
2009-12-24T16:00:00-08:00,77.72,77.796,77.524,77.645
2009-12-27T14:00:00-08:00,77.683,77.865,77.544,77.658
2009-12-28T16:00:00-08:00,77.701,77.932,77.332,77.814
2009-12-29T16:00:00-08:00,77.878,78.218,77.801,77.864
2009-12-30T16:00:00-08:00,77.89,78.018,77.408,77.86
2010-01-03T14:00:00-08:00,77.866,78.19,77.261,77.481
2010-01-04T16:00:00-08:00,77.371,77.714,77.089,77.67
2010-01-05T16:00:00-08:00,77.653,78,77.365,77.528
2010-01-06T16:00:00-08:00,77.372,78.076,77.301,77.999
2010-01-07T16:00:00-08:00,77.981,78.187,77.352,77.471
2010-01-10T14:00:00-08:00,77.182,77.226,76.79,77.025
2010-01-11T16:00:00-08:00,77.09,77.312,76.758,77.032
2010-01-12T16:00:00-08:00,77.111,77.155,76.601,76.85
2010-01-13T16:00:00-08:00,76.785,77.024,76.673,76.751
2010-01-14T16:00:00-08:00,76.779,77.407,76.763,77.323
2010-01-17T14:00:00-08:00,77.179,77.389,77.001,77.023
2010-01-18T16:00:00-08:00,76.977,77.686,76.936,77.54
2010-01-19T16:00:00-08:00,77.582,78.45,77.506,78.341
2010-01-20T16:00:00-08:00,78.265,78.814,78.133,78.379
2010-01-21T16:00:00-08:00,78.389,78.527,78.042,78.277
2010-01-24T14:00:00-08:00,78.197,78.341,78.026,78.195
2010-01-25T16:00:00-08:00,78.171,78.636,78.083,78.478
2010-01-26T16:00:00-08:00,78.55,78.851,78.369,78.682
2010-01-27T16:00:00-08:00,78.665,79.066,78.544,78.994
2010-01-28T16:00:00-08:00,78.991,79.496,78.852,79.477
2010-01-31T14:00:00-08:00,79.448,79.534,79.159,79.233
2010-02-01T16:00:00-08:00,79.234,79.406,78.965,78.982
2010-02-02T16:00:00-08:00,78.978,79.457,78.68,79.397
2010-02-03T16:00:00-08:00,79.367,80.023,79.342,79.979
2010-02-04T16:00:00-08:00,79.969,80.683,79.944,80.441
2010-02-07T14:00:00-08:00,80.45,80.522,80.091,80.376
2010-02-08T16:00:00-08:00,80.348,80.43,79.563,79.817
2010-02-09T16:00:00-08:00,79.81,80.311,79.655,79.984
2010-02-10T16:00:00-08:00,79.942,80.504,79.708,80.027
2010-02-11T16:00:00-08:00,80.018,80.748,79.989,80.316
2010-02-14T14:00:00-08:00,80.23,80.517,80.204,80.354
2010-02-15T16:00:00-08:00,80.4,80.424,79.593,79.696
2010-02-16T16:00:00-08:00,79.638,80.53,79.559,80.452
2010-02-17T16:00:00-08:00,80.453,81.25,80.188,81.132
2010-02-18T16:00:00-08:00,81.263,81.342,80.511,80.643
2010-02-21T14:00:00-08:00,80.539,80.666,80.364,80.586
2010-02-22T16:00:00-08:00,80.502,80.986,80.088,80.868
2010-02-23T16:00:00-08:00,80.893,80.945,80.36,80.742
2010-02-24T16:00:00-08:00,80.771,81.129,80.655,80.804
2010-02-25T16:00:00-08:00,80.769,80.848,80.123,80.362
